player_id,name,firstname,lastname,birthdate,birthplace,birthcountry,nationality,height,weight,photo
74,S. Amrabat,Sofyan,Amrabat,1996-08-21,Huizen,Netherlands,Morocco,183 cm,82 kg,https://media.api-sports.io/football/players/74.png
78,H. Vanaken,Hans,Vanaken,1992-08-24,Neerpelt,Belgium,Belgium,195 cm,77 kg,https://media.api-sports.io/football/players/78.png
81,K. Diatta,Krépin,Diatta,1999-02-25,Dakar,Senegal,Senegal,175 cm,68 kg,https://media.api-sports.io/football/players/81.png
82,N. Fadiga,Noah,Fadiga,1999-12-03,Brugge,Belgium,Senegal,187 cm,76 kg,https://media.api-sports.io/football/players/82.png
83,A. Danjuma,Arnaut,Danjuma Adam Groeneveld,1997-01-31,Lagos,Nigeria,Netherlands,178 cm,74 kg,https://media.api-sports.io/football/players/83.png
86,L. Openda,Ikoma-Loïs,Openda,2000-02-16,Liège,Belgium,Belgium,177 cm,75 kg,https://media.api-sports.io/football/players/86.png
95,B. Badiashile,Benoît Ntambue,Badiashile Mukinayi Baya,2001-03-26,Limoges,France,France,194 cm,75 kg,https://media.api-sports.io/football/players/95.png
98,B. Henrichs,Benjamin Paa Kwesi,Henrichs,1997-02-23,Bocholt,Germany,Germany,183 cm,79 kg,https://media.api-sports.io/football/players/98.png
102,D. Sidibé,Djibril,Sidibé,1992-07-29,Troyes,France,France,182 cm,71 kg,https://media.api-sports.io/football/players/102.png
103,J. Aholou,Jean-Eudes Pascal Armand,Aholou,1994-03-20,Yopougnon,Côte d'Ivoire,Côte d'Ivoire,186 cm,71 kg,https://media.api-sports.io/football/players/103.png
104,Carlos Vinícius,Carlos Vinícius,Alves Morais,1995-03-25,Rio de Janeiro,Brazil,Brazil,190 cm,86 kg,https://media.api-sports.io/football/players/104.png
107,S. Diop,Sofiane,Diop,2000-06-09,Tours,France,France,175 cm,65 kg,https://media.api-sports.io/football/players/107.png
109,A. Golovin,Aleksandr,Golovin,1996-05-30,Kaltan,Russia,Russia,178 cm,69 kg,https://media.api-sports.io/football/players/109.png
110,H. Massengo,Han-Noah,Massengo,2001-07-07,,France,France,178 cm,,https://media.api-sports.io/football/players/110.png
116,K. Thuram,Khéphren,Thuram-Ulien,2001-03-26,Reggio Emilia,France,France,192 cm,80 kg,https://media.api-sports.io/football/players/116.png
130,Nélson Semedo,Nélson,Cabral Semedo,1993-11-16,Lisboa,Portugal,Portugal,177 cm,69 kg,https://media.api-sports.io/football/players/130.png
131,Jorge Cuenca,Jorge,Cuenca Barreno,1999-11-17,Madrid,Spain,Spain,190 cm,75 kg,https://media.api-sports.io/football/players/131.png
133,C. Lenglet,Clément Nicolas Laurent,Lenglet,1995-06-17,Beauvais,France,France,186 cm,81 kg,https://media.api-sports.io/football/players/133.png
134,Juan Miranda,Juan,Miranda González,2000-01-19,Olivares,Spain,Spain,185 cm,76 kg,https://media.api-sports.io/football/players/134.png
138,J. Todibo,Jean-Clair Dimitri Roger,Todibo,1999-12-30,Cayenne,French Guiana,France,192 cm,88 kg,https://media.api-sports.io/football/players/138.png
153,O. Dembélé,Masour Ousmane,Dembélé,1997-05-15,Vernon,France,France,178 cm,67 kg,https://media.api-sports.io/football/players/153.png
155,Abel Ruiz,Abel,Ruiz Ortega,2000-01-28,Almussafes,Spain,Spain,182 cm,73 kg,https://media.api-sports.io/football/players/155.png
158,P. Gazzaniga,Paulo Dino,Gazzaniga Farias,1992-01-02,Murphy,Argentina,Argentina,195 cm,90 kg,https://media.api-sports.io/football/players/158.png
161,A. Whiteman,Alfie Malik,Whiteman,1998-10-02,London,England,England,189 cm,84 kg,https://media.api-sports.io/football/players/161.png
164,B. Davies,Benjamin Thomas,Davies,1993-04-24,Neath,Wales,Wales,181 cm,77 kg,https://media.api-sports.io/football/players/164.png
168,D. Sánchez,Davinson,Sánchez Mina,1996-06-12,Caloto,Colombia,Colombia,187 cm,81 kg,https://media.api-sports.io/football/players/168.png
169,K. Trippier,Kieran John,Trippier,1990-09-19,Bury,England,England,178 cm,71 kg,https://media.api-sports.io/football/players/169.png
171,K. Walker-Peters,Kyle Leonardus,Walker-Peters,1997-04-13,London,England,England,173 cm,62 kg,https://media.api-sports.io/football/players/171.png
174,C. Eriksen,Christian,Dannemann Eriksen,1992-02-14,Middelfart,Denmark,Denmark,182 cm,76 kg,https://media.api-sports.io/football/players/174.png
175,E. Dier,Eric Jeremy Edgar,Dier,1994-01-15,Cheltenham,England,England,188 cm,83 kg,https://media.api-sports.io/football/players/175.png
180,O. Skipp,Oliver William,Skipp,2000-09-16,,England,England,175 cm,70 kg,https://media.api-sports.io/football/players/180.png
182,H. Winks,Harry Billy,Winks,1996-02-02,Hemel Hempstead,England,England,178 cm,65 kg,https://media.api-sports.io/football/players/182.png
184,H. Kane,Harry Edward,Kane,1993-07-28,London,England,England,188 cm,86 kg,https://media.api-sports.io/football/players/184.png
186,Son Heung-Min,Heung-Min,Son,1992-07-08,Chuncheon,Korea Republic,Korea Republic,183 cm,78 kg,https://media.api-sports.io/football/players/186.png
194,S. de Vrij,Stefan,de Vrij,1992-02-05,Ouderkerk aan den IJssel,Netherlands,Netherlands,190 cm,78 kg,https://media.api-sports.io/football/players/194.png
198,M. Škriniar,Milan,Škriniar,1995-02-11,Žiar nad Hronom,Slovakia,Slovakia,188 cm,83 kg,https://media.api-sports.io/football/players/198.png
216,M. Icardi,Mauro Emanuel,Icardi Rivero,1993-02-19,Rosario,Argentina,Argentina,181 cm,75 kg,https://media.api-sports.io/football/players/216.png
217,Lautaro Martínez,Lautaro Javier,Martínez,1997-08-22,Bahía Blanca,Argentina,Argentina,174 cm,72 kg,https://media.api-sports.io/football/players/217.png
224,J. Zoet,Jeroen,Zoet,1991-01-06,Veendam,Netherlands,Netherlands,189 cm,88 kg,https://media.api-sports.io/football/players/224.png
226,D. Dumfries,Denzel Justus Morris,Dumfries,1996-04-18,Rotterdam,Netherlands,Netherlands,188 cm,80 kg,https://media.api-sports.io/football/players/226.png
227,Angeliño,José Ángel,Esmoris Tasende,1997-01-04,Coristanco,Spain,Spain,175 cm,69 kg,https://media.api-sports.io/football/players/227.png
231,J. Teze,Jordan,Teze,1999-09-30,Groningen,Netherlands,Netherlands,183 cm,68 kg,https://media.api-sports.io/football/players/231.png
240,P. Rosario,Pablo Paulino,Rosario,1997-01-07,Amsterdam,Netherlands,Netherlands,188 cm,73 kg,https://media.api-sports.io/football/players/240.png
243,Z. Aboukhlal,Zakaria,Aboukhlal,2000-02-18,Rotterdam,Netherlands,Morocco,179 cm,74 kg,https://media.api-sports.io/football/players/243.png
247,C. Gakpo,Cody Mathès,Gakpo,1999-05-07,Eindhoven,Netherlands,Netherlands,193 cm,76 kg,https://media.api-sports.io/football/players/247.png
253,A. Areola,Alphonse Francis,Areola,1993-02-27,Paris,France,France,195 cm,94 kg,https://media.api-sports.io/football/players/253.png
257,Marquinhos,Marcos,Aoás Corrêa,1994-05-14,São Paulo,Brazil,Brazil,183 cm,75 kg,https://media.api-sports.io/football/players/257.png
261,T. Kehrer,Jan Thilo,Kehrer,1996-09-21,Tübingen,Germany,Germany,186 cm,76 kg,https://media.api-sports.io/football/players/261.png
264,T. Meunier,Thomas André A.,Meunier,1991-09-12,Sainte-Ode,Belgium,Belgium,190 cm,78 kg,https://media.api-sports.io/football/players/264.png
269,C. Nkunku,Christopher Alan,Nkunku,1997-11-14,Lagny-sur-Marne,France,France,178 cm,68 kg,https://media.api-sports.io/football/players/269.png
271,L. Paredes,Leandro Daniel,Paredes,1994-06-29,San Justo,Argentina,Argentina,180 cm,75 kg,https://media.api-sports.io/football/players/271.png
272,A. Rabiot,Adrien Thibault Marie,Rabiot-Provost,1995-04-03,Saint-Maurice,France,France,188 cm,72 kg,https://media.api-sports.io/football/players/272.png
277,M. Diaby,Moussa,Diaby,1999-07-07,Paris,France,France,170 cm,68 kg,https://media.api-sports.io/football/players/277.png
278,Kylian Mbappé,Kylian,Mbappé Lottin,1998-12-20,Paris,France,France,178 cm,75 kg,https://media.api-sports.io/football/players/278.png
280,Alisson Becker,Alisson Ramsés,Becker,1992-10-02,Novo Hamburgo,Brazil,Brazil,193 cm,91 kg,https://media.api-sports.io/football/players/280.png
281,C. Kelleher,Caoimhín Odhrán,Kelleher,1998-11-23,Cork,Republic of Ireland,Republic of Ireland,188 cm,74 kg,https://media.api-sports.io/football/players/281.png
282,S. Mignolet,Simon Luc Hildebert,Mignolet,1988-03-06,Sint-Truiden,Belgium,Belgium,193 cm,88 kg,https://media.api-sports.io/football/players/282.png
283,T. Alexander-Arnold,Trent John,Alexander-Arnold,1998-10-07,Liverpool,England,England,175 cm,67 kg,https://media.api-sports.io/football/players/283.png
284,J. Gomez,Joseph Dave,Gomez,1997-05-23,London,England,England,188 cm,80 kg,https://media.api-sports.io/football/players/284.png
285,K. Hoever,Ki-Jana Delano,Hoever,2002-01-18,Amsterdam,Netherlands,Netherlands,183 cm,65 kg,https://media.api-sports.io/football/players/285.png
289,A. Robertson,Andrew Henry,Robertson,1994-03-11,Glasgow,Scotland,Scotland,178 cm,64 kg,https://media.api-sports.io/football/players/289.png
290,V. van Dijk,Virgil,van Dijk,1991-07-08,Breda,Netherlands,Netherlands,195 cm,92 kg,https://media.api-sports.io/football/players/290.png
293,C. Jones,Curtis Julian,Jones,2001-01-30,Liverpool,England,England,185 cm,78 kg,https://media.api-sports.io/football/players/293.png
295,A. Lallana,Adam David,Lallana,1988-05-10,St Albans,England,England,172 cm,73 kg,https://media.api-sports.io/football/players/295.png
296,J. Milner,James Philip,Milner,1986-01-04,Leeds,England,England,175 cm,70 kg,https://media.api-sports.io/football/players/296.png
306,Mohamed Salah,Mohamed,Salah Hamed Mahrous Ghaly,1992-06-15,Muḥāfaẓat al Gharbiyya,Egypt,Egypt,175 cm,71 kg,https://media.api-sports.io/football/players/306.png
320,N. Maksimović,Nikola,Maksimović,1991-11-25,Bajina Bašta,Serbia,Serbia,193 cm,82 kg,https://media.api-sports.io/football/players/320.png
328,Fabián Ruiz,Fabián,Ruiz Peña,1996-04-03,Los Palacios y Villafranca,Spain,Spain,189 cm,70 kg,https://media.api-sports.io/football/players/328.png
329,P. Zieliński,Piotr Sebastian,Zieliński,1994-05-20,Zabkowice Slaskie,Poland,Poland,180 cm,76 kg,https://media.api-sports.io/football/players/329.png
332,D. Mertens,Dries,Mertens,1987-05-06,Leuven,Belgium,Belgium,169 cm,61 kg,https://media.api-sports.io/football/players/332.png
355,E. Jirka,Erik,Jirka,1997-09-19,Drahovce,Slovakia,Slovakia,182 cm,73 kg,https://media.api-sports.io/football/players/355.png
369,Diogo Costa,Diogo,Meireles da Costa,1999-09-19,Santo Tirso,Portugal,Portugal,186 cm,82 kg,https://media.api-sports.io/football/players/369.png
412,A. Harit,Amine,Harit,1997-06-18,Pontoise,France,Morocco,180 cm,67 kg,https://media.api-sports.io/football/players/412.png
415,W. McKennie,Weston James Earl,McKennie,1998-08-28,Little Elm,USA,USA,183 cm,84 kg,https://media.api-sports.io/football/players/415.png
421,B. Embolo,Breel Donald,Embolo,1997-02-14,Yaoundé,Cameroon,Switzerland,187 cm,84 kg,https://media.api-sports.io/football/players/421.png
427,H. Wright,Haji Amir,Wright,1998-03-27,Los Angeles,USA,USA,193 cm,80 kg,https://media.api-sports.io/football/players/427.png
429,F. Muslera,Néstor Fernando,Muslera Micol,1986-06-16,Buenos Aires,Argentina,Uruguay,190 cm,84 kg,https://media.api-sports.io/football/players/429.png
430,B. Şen,Batuhan Ahmet,Şen,1999-02-03,İstanbul,Türkiye,Türkiye,194 cm,78 kg,https://media.api-sports.io/football/players/430.png
454,Y. Akgün,Yunus,Akgün,2000-07-07,İstanbul,Türkiye,Türkiye,173 cm,65 kg,https://media.api-sports.io/football/players/454.png
497,M. Neuer,Manuel Peter,Neuer,1986-03-27,Gelsenkirchen,Germany,Germany,193 cm,93 kg,https://media.api-sports.io/football/players/497.png
498,S. Ulreich,Sven,Ulreich,1988-08-03,Schorndorf,Germany,Germany,192 cm,87 kg,https://media.api-sports.io/football/players/498.png
501,M. Hummels,Mats Julian,Hummels,1988-12-16,Bergisch Gladbach,Germany,Germany,191 cm,94 kg,https://media.api-sports.io/football/players/501.png
502,J. Kimmich,Joshua Walter,Kimmich,1995-02-08,Rottweil,Germany,Germany,177 cm,75 kg,https://media.api-sports.io/football/players/502.png
508,K. Coman,Kingsley Junior,Coman,1996-06-13,Paris,France,France,181 cm,76 kg,https://media.api-sports.io/football/players/508.png
509,A. Davies,Alphonso Boyle,Davies,2000-11-02,Buduburam,Ghana,Canada,183 cm,75 kg,https://media.api-sports.io/football/players/509.png
510,S. Gnabry,Serge David,Gnabry,1995-07-14,Stuttgart,Germany,Germany,176 cm,77 kg,https://media.api-sports.io/football/players/510.png
511,L. Goretzka,Leon Christoph,Goretzka,1995-02-06,Bochum,Germany,Germany,189 cm,82 kg,https://media.api-sports.io/football/players/511.png
519,C. Tolisso,Corentin,Tolisso,1994-08-03,Tarare,France,France,181 cm,81 kg,https://media.api-sports.io/football/players/519.png
522,T. Müller,Thomas,Müller,1989-09-13,Weilheim,Germany,Germany,185 cm,76 kg,https://media.api-sports.io/football/players/522.png
523,I. El Maach,Issam,El Maach,2000-02-01,heerlen,Morocco,Morocco,187 cm,96 kg,https://media.api-sports.io/football/players/523.png
524,D. Kotarski,Dominik,Kotarski,2000-02-10,Zabok,Croatia,Croatia,189 cm,75 kg,https://media.api-sports.io/football/players/524.png
526,A. Onana,André,Onana Onana,1996-04-02,Nkol Ngok,Cameroon,Cameroon,190 cm,93 kg,https://media.api-sports.io/football/players/526.png
529,N. Tagliafico,Nicolás Alejandro,Tagliafico,1992-08-31,Rafael Calzada,Argentina,Argentina,172 cm,67 kg,https://media.api-sports.io/football/players/529.png
530,M. Bakker,Mitchel,Bakker,2000-06-20,Purmerend,Netherlands,Netherlands,185 cm,85 kg,https://media.api-sports.io/football/players/530.png
531,D. Blind,Daley,Blind,1990-03-09,Amsterdam,Netherlands,Netherlands,180 cm,72 kg,https://media.api-sports.io/football/players/531.png
532,M. de Ligt,Matthijs,de Ligt,1999-08-12,Leiderdorp,Netherlands,Netherlands,187 cm,89 kg,https://media.api-sports.io/football/players/532.png
537,J. Veltman,Joël Ivo,Veltman,1992-01-15,Velsen,Netherlands,Netherlands,184 cm,75 kg,https://media.api-sports.io/football/players/537.png
540,C. Eiting,Carel Willem Hendrik,Eiting,1998-02-11,Amsterdam,Netherlands,Netherlands,179 cm,72 kg,https://media.api-sports.io/football/players/540.png
542,R. Gravenberch,Ryan Jiro,Gravenberch,2002-05-16,Amsterdam,Netherlands,Netherlands,190 cm,83 kg,https://media.api-sports.io/football/players/542.png
545,N. Mazraoui,Noussair,Mazraoui,1997-11-14,Leiderdorp,Netherlands,Morocco,183 cm,63 kg,https://media.api-sports.io/football/players/545.png
547,D. van de Beek,Donny,van de Beek,1997-04-18,Nijkerkerveen,Netherlands,Netherlands,184 cm,76 kg,https://media.api-sports.io/football/players/547.png
548,H. Ziyech,Hakim,Ziyech,1993-03-19,Dronten,Netherlands,Morocco,180 cm,65 kg,https://media.api-sports.io/football/players/548.png
549,V. Černý,Václav,Černý,1997-10-17,Příbram,Czechia,Czechia,182 cm,68 kg,https://media.api-sports.io/football/players/549.png
554,D. Tadić,Dušan,Tadić,1988-11-20,Bačka Topola,Yugoslavia,Serbia,181 cm,76 kg,https://media.api-sports.io/football/players/554.png
555,L. Traoré,Lassina Chamste Soudine Franck,Traoré,2001-01-12,Bobo-Dioulasso,Burkina Faso,Burkina Faso,182 cm,90 kg,https://media.api-sports.io/football/players/555.png
556,M. Svilar,Mile,Svilar,1999-08-27,Antwerpen,Belgium,Serbia,189 cm,77 kg,https://media.api-sports.io/football/players/556.png
557,O. Vlachodimos,Odysseas,Vlachodimos,1994-04-26,Stuttgart,Germany,Greece,188 cm,78 kg,https://media.api-sports.io/football/players/557.png
563,Álex Grimaldo,Alejandro,Grimaldo García,1995-09-20,Valencia,Spain,Spain,171 cm,63 kg,https://media.api-sports.io/football/players/563.png
567,Rúben Dias,Rúben,dos Santos Gato Alves Dias,1997-05-14,Amadora,Portugal,Portugal,187 cm,76 kg,https://media.api-sports.io/football/players/567.png
579,A. Živković,Andrija,Živković,1996-07-11,Niš,Serbia,Serbia,169 cm,66 kg,https://media.api-sports.io/football/players/579.png
581,Jota,João Pedro,Neves Filipe,1999-03-30,Lisbon,Portugal,Portugal,175 cm,60 kg,https://media.api-sports.io/football/players/581.png
583,João Félix,João,Félix Sequeira,1999-11-10,Viseu,Portugal,Portugal,181 cm,70 kg,https://media.api-sports.io/football/players/583.png
607,A. Bakasetas,Anastasios,Bakasetas,1993-06-28,Korinth,Greece,Greece,181 cm,75 kg,https://media.api-sports.io/football/players/607.png
616,A. Murić,Arijanet,Murić,1998-11-07,Zürich,Switzerland,Kosovo,198 cm,81 kg,https://media.api-sports.io/football/players/616.png
617,Ederson,Ederson,Santana de Moraes,1993-08-17,Osasco,Brazil,Brazil,188 cm,86 kg,https://media.api-sports.io/football/players/617.png
618,Danilo,Danilo Luiz,da Silva,1991-07-15,Bicas,Brazil,Brazil,184 cm,78 kg,https://media.api-sports.io/football/players/618.png
626,J. Stones,John,Stones,1994-05-28,Barnsley,England,England,188 cm,80 kg,https://media.api-sports.io/football/players/626.png
627,K. Walker,Kyle Andrew,Walker,1990-05-28,Sheffield,England,England,183 cm,80 kg,https://media.api-sports.io/football/players/627.png
629,K. De Bruyne,Kevin,De Bruyne,1991-06-28,Drongen,Belgium,Belgium,181 cm,68 kg,https://media.api-sports.io/football/players/629.png
631,P. Foden,Philip Walter,Foden,2000-05-28,Stockport,England,England,171 cm,63 kg,https://media.api-sports.io/football/players/631.png
633,İ. Gündoğan,İlkay,Gündoğan,1990-10-24,Gelsenkirchen,Germany,Germany,180 cm,80 kg,https://media.api-sports.io/football/players/633.png
636,Bernardo Silva,Bernardo,Mota Veiga de Carvalho e Silva,1994-08-10,Lisboa,Portugal,Portugal,173 cm,65 kg,https://media.api-sports.io/football/players/636.png
641,O. Zinchenko,Oleksandr,Zinchenko,1996-12-15,Radomyshl,Ukraine,Ukraine,175 cm,64 kg,https://media.api-sports.io/football/players/641.png
643,Gabriel Jesus,Gabriel Fernando,de Jesus,1997-04-03,São Paulo,Brazil,Brazil,175 cm,73 kg,https://media.api-sports.io/football/players/643.png
644,L. Sané,Leroy Aziz,Sané,1996-01-11,Essen,Germany,Germany,183 cm,80 kg,https://media.api-sports.io/football/players/644.png
645,R. Sterling,Raheem Shaquille,Sterling,1994-12-08,Kingston,Jamaica,England,172 cm,69 kg,https://media.api-sports.io/football/players/645.png
646,M. Gorgelin,Mathieu,Gorgelin,1990-08-05,Ambérieu en Bugey,France,France,187 cm,83 kg,https://media.api-sports.io/football/players/646.png
647,Anthony Lopes,Anthony,Lopes,1990-10-01,Givors,France,Portugal,184 cm,81 kg,https://media.api-sports.io/football/players/647.png
653,F. Mendy,Ferland Sinna,Mendy,1995-06-08,Meulan-En-Yvelines,France,France,180 cm,73 kg,https://media.api-sports.io/football/players/653.png
657,K. Tete,Kenny Joelle,Tete,1995-10-09,Amsterdam,Netherlands,Netherlands,180 cm,71 kg,https://media.api-sports.io/football/players/657.png
659,M. Caqueret,Maxence,Caqueret,2000-02-15,Vénissieux,France,France,174 cm,63 kg,https://media.api-sports.io/football/players/659.png
662,T. Ndombélé,Tanguy,Ndombélé Alvaro,1996-12-28,Longjumeau,France,France,181 cm,76 kg,https://media.api-sports.io/football/players/662.png
665,M. Cornet,Gnaly Albert Maxwel,Cornet,1996-09-27,Bregbo,Côte d'Ivoire,Côte d'Ivoire,179 cm,69 kg,https://media.api-sports.io/football/players/665.png
676,V. Bondar,Valeriy,Bondar,1999-02-27,Kharkiv,Ukraine,Ukraine,185 cm,77 kg,https://media.api-sports.io/football/players/676.png
679,Ismaily,Ismaily,Gonçalves dos Santos,1990-01-11,Ivinhema,Brazil,Brazil,177 cm,82 kg,https://media.api-sports.io/football/players/679.png
682,M. Matvienko,Mykola,Matvienko,1996-05-02,Saky,Ukraine,Ukraine,182 cm,74 kg,https://media.api-sports.io/football/players/682.png
684,Taison,Taison,Barcellos Freda,1988-01-17,Pelotas,Brazil,Brazil,172 cm,64 kg,https://media.api-sports.io/football/players/684.png
691,Tetê,Mateus Cardoso,Lemos Martins,2000-02-15,Alvorada,Brazil,Brazil,175 cm,70 kg,https://media.api-sports.io/football/players/691.png
698,T. Stepanenko,Taras,Stepanenko,1989-08-08,Velyka Novosilka,Ukraine,Ukraine,181 cm,76 kg,https://media.api-sports.io/football/players/698.png
711,S. Posch,Stefan,Posch,1997-05-14,Judenburg,Austria,Austria,190 cm,82 kg,https://media.api-sports.io/football/players/711.png
715,C. Baumgartner,Christoph,Baumgartner,1999-08-01,Horn,Austria,Austria,180 cm,73 kg,https://media.api-sports.io/football/players/715.png
717,K. Demirbay,Kerem,Demirbay,1993-07-03,Herten,Germany,Germany,183 cm,73 kg,https://media.api-sports.io/football/players/717.png
723,Joelinton,Joelinton Cássio,Apolinário de Lira,1996-08-14,Aliança,Brazil,Brazil,186 cm,81 kg,https://media.api-sports.io/football/players/723.png
727,R. Nelson,Reiss Luke,Nelson,1999-12-10,,England,England,175 cm,71 kg,https://media.api-sports.io/football/players/727.png
730,T. Courtois,Thibaut Nicolas Marc,Courtois,1992-05-11,Bree,Belgium,Belgium,200 cm,96 kg,https://media.api-sports.io/football/players/730.png
736,Fran García,Francisco José,García Torres,1999-08-14,Bolaños de Calatrava,Spain,Spain,167 cm,69 kg,https://media.api-sports.io/football/players/736.png
739,Reguilón,Sergio,Reguilón Rodríguez,1996-12-16,Madrid,Spain,Spain,178 cm,68 kg,https://media.api-sports.io/football/players/739.png
741,Vallejo,Jesús,Vallejo Lázaro,1997-01-05,Zaragoza,Spain,Spain,184 cm,79 kg,https://media.api-sports.io/football/players/741.png
743,Marcelo,Marcelo,Vieira da Silva Júnior,1988-05-12,Rio de Janeiro,Brazil,Brazil,174 cm,75 kg,https://media.api-sports.io/football/players/743.png
744,Brahim Díaz,Brahim,Abdelkader Díaz,1999-08-03,Málaga,Spain,Spain,171 cm,59 kg,https://media.api-sports.io/football/players/744.png
746,Marco Asensio,Marco,Asensio Willemsen,1996-01-21,Palma de Mallorca,Spain,Spain,182 cm,76 kg,https://media.api-sports.io/football/players/746.png
747,Casemiro,Carlos Henrique,Casimiro,1992-02-23,São José dos Campos,Brazil,Brazil,185 cm,84 kg,https://media.api-sports.io/football/players/747.png
748,Dani Ceballos,Daniel,Ceballos Fernández,1996-08-07,Sevilla,Spain,Spain,179 cm,70 kg,https://media.api-sports.io/football/players/748.png
754,L. Modrić,Luka,Modrić,1985-09-09,Zadar,Croatia,Croatia,172 cm,66 kg,https://media.api-sports.io/football/players/754.png
756,F. Valverde,Federico Santiago,Valverde Dipetta,1998-07-22,Montevideo,Uruguay,Uruguay,182 cm,78 kg,https://media.api-sports.io/football/players/756.png
757,Lucas Vázquez,Lucas,Vázquez Iglesias,1991-07-01,Curtis,Spain,Spain,173 cm,70 kg,https://media.api-sports.io/football/players/757.png
766,R. Olsen,Robin Patrick,Olsen,1990-01-08,Malmö,Sweden,Sweden,198 cm,89 kg,https://media.api-sports.io/football/players/766.png
778,B. Cristante,Bryan,Cristante,1995-03-03,San Vito al Tagliamento,Italy,Italy,186 cm,80 kg,https://media.api-sports.io/football/players/778.png
782,L. Pellegrini,Lorenzo,Pellegrini,1996-06-19,Roma,Italy,Italy,186 cm,77 kg,https://media.api-sports.io/football/players/782.png
786,N. Zaniolo,Nicolò,Zaniolo,1999-07-02,Massa,Italy,Italy,190 cm,79 kg,https://media.api-sports.io/football/players/786.png
788,Ž. Celar,Žan,Celar,1999-03-14,Kranj,Slovenia,Slovenia,186 cm,82 kg,https://media.api-sports.io/football/players/788.png
790,E. Džeko,Edin,Džeko,1986-03-17,Sarajevo,Bosnia and Herzegovina,Bosnia and Herzegovina,193 cm,80 kg,https://media.api-sports.io/football/players/790.png
791,S. El Shaarawy,Stephan Kareem,El Shaarawy,1992-10-27,Savona,Italy,Italy,178 cm,72 kg,https://media.api-sports.io/football/players/791.png
792,J. Kluivert,Justin Dean,Kluivert,1999-05-05,Amsterdam,Netherlands,Netherlands,171 cm,67 kg,https://media.api-sports.io/football/players/792.png
794,P. Schick,Patrik,Schick,1996-01-24,Praha,Czechia,Czechia,191 cm,87 kg,https://media.api-sports.io/football/players/794.png
799,M. Havel,Milan,Havel,1994-08-07,Benešov,Czechia,Czechia,183 cm,77 kg,https://media.api-sports.io/football/players/799.png
800,L. Hejda,Lukáš,Hejda,1990-03-09,Bílovec,Czechia,Czechia,189 cm,85 kg,https://media.api-sports.io/football/players/800.png
810,J. Kopic,Jan,Kopic,1990-06-04,Humpolec,Czechia,Czechia,180 cm,80 kg,https://media.api-sports.io/football/players/810.png
829,Rodrigo Becão,Rodrigo,Nascimento França,1996-01-19,Salvador,Brazil,Brazil,191 cm,79 kg,https://media.api-sports.io/football/players/829.png
843,F. Chalov,Fedor,Chalov,1998-04-10,Moskva,Russia,Russia,181 cm,81 kg,https://media.api-sports.io/football/players/843.png
849,M. Perin,Mattia,Perin,1992-11-10,Latina,Italy,Italy,188 cm,85 kg,https://media.api-sports.io/football/players/849.png
850,C. Pinsoglio,Carlo,Pinsoglio,1990-03-16,Moncalieri,Italy,Italy,194 cm,85 kg,https://media.api-sports.io/football/players/850.png
863,R. Bentancur,Rodrigo,Bentancur Colmán,1997-06-25,Nueva Helvecia,Uruguay,Uruguay,187 cm,72 kg,https://media.api-sports.io/football/players/863.png
